sp,Ns,N1,N2,int_start,int_end,interval_length,int
tremmi,0,2,2,1985-07-30,1990-07-01,4.921917808219178,2
ingasa,134,201,177,1985-04-23,1990-07-17,5.234225205525658,2
ocotce,171,272,269,1985-04-26,1990-08-01,5.267070041847773,2
guargr,32,36,38,1985-03-28,1990-07-04,5.272490587198591,2
ingapu,4,9,11,1985-05-18,1990-09-01,5.293067662930679,2
nectgl,49,90,97,1985-05-27,1990-08-29,5.259251518147153,2
micoar,228,573,740,1985-04-24,1990-07-31,5.2711972684152295,2
ficuc2,0,4,0,1985-05-03,NA,NA,2
ficuin,1,4,3,1985-07-01,1990-11-11,5.368949771689498,2
ormoma,66,71,97,1985-04-11,1990-07-15,5.2644796330589125,2
termam,19,25,21,1985-04-17,1990-07-14,5.244639269406393,2
tri2pa,324,410,409,1985-04-27,1990-08-01,5.265547075204819,2
ficubu,0,0,0,NA,NA,NA,2
tet4jo,0,0,1,NA,1991-01-29,NA,2
pse1se,1,6,10,1985-06-27,1990-07-22,5.071598173515982,2
tocopi,2,3,2,1985-03-28,1990-07-05,5.273972602739726,2
sch2mo,0,0,0,NA,NA,NA,2
pochse,9,10,9,1985-06-06,1990-09-08,5.259634703196349,2
ocotpu,120,208,176,1985-04-11,1990-07-17,5.2694918095603045,2
ingami,5,7,7,1985-04-16,1990-07-14,5.245401174168297,2
ingaru,11,17,11,1985-05-21,1990-09-25,5.350655629624205,2
cuparu,43,64,87,1985-05-03,1990-07-28,5.236981872933395,2
poutfo,1,1,1,1985-02-01,1990-04-07,5.1808219178082195,2
vochfe,7,12,12,1985-04-04,1990-06-03,5.169406392694063,2
ast1st,1,1,1,1985-07-03,1990-09-28,5.241095890410959,2
coccco,111,148,140,1985-05-05,1990-08-04,5.2500137515206005,2
cupaci,2,3,8,1985-03-08,1990-08-04,5.4103881278538815,2
tri4ga,0,0,0,NA,NA,NA,2
laetpr,2,5,8,1985-02-18,1990-04-29,5.193424657534248,2
lafopu,0,3,0,1985-03-11,NA,NA,2
entesc,6,7,7,1985-04-01,1990-05-18,5.129941291585126,2
cedrod,0,0,7,NA,1990-08-27,NA,2
ingaqu,449,576,539,1985-05-16,1990-08-21,5.271022797869667,2
pourbi,16,25,21,1985-02-21,1990-04-27,5.18155772994129,2
pit1ma,0,0,0,NA,NA,NA,2
ingath,34,58,65,1985-02-15,1990-04-21,5.1797412884706215,2
pochqu,0,0,0,NA,NA,NA,2
alchla,0,0,1,NA,1990-02-07,NA,2
sipagu,2,7,3,1985-01-24,1990-03-24,5.1629484670580545,2
ochrpy,0,2,1,1985-03-09,1990-10-18,5.6136986301369864,2
oenoma,4,21,22,1985-04-18,1990-06-28,5.199377334993773,2
ery2ma,191,261,257,1985-05-02,1990-08-12,5.280920087546088,2
nectpu,39,64,63,1985-03-31,1990-06-28,5.246236953685586,2
socrex,17,93,38,1985-03-08,1990-05-15,5.187610763541642,2
perexa,166,212,206,1985-02-21,1990-05-08,5.210575723889414,2
chimpa,1,2,1,1985-05-28,1990-12-06,5.528767123287671,2
schipa,5,9,8,1985-02-03,1990-05-06,5.254870624048705,2
elaeol,0,0,0,NA,NA,NA,2
maclti,0,1,0,1985-02-13,NA,NA,2
aegipa,21,38,24,1990-07-13,1995-04-26,4.7902847873107435,3
beilpe,1759,2208,2040,1990-07-16,1995-05-02,4.798375535741392,3
