int,sp,N1,N2,Ns,Nd,Nr,int_start,int_end,interval_length,M_Koh,R_Koh,...1,Latin,pft
2,zantbe,101,46,2,99,44,1985-03-26,1990-06-13,5.22071011151145,1.066996003197246e-4,4.742204458654426e-5,38,Zanthoxylum ekmanii,ST_DT
2,annosp,42,100,19,23,81,1985-05-29,1990-08-31,5.262838878016961,1.1752780515105791e-5,4.1390227031459525e-5,40,Annona spraguei,ST_DT
2,tab2ar,894,954,710,184,244,1985-04-13,1990-07-15,5.258245785878268,7.66662757737893e-5,1.016661483087206e-4,41,Tabernaemontana arborea,ST_DI
2,jac1co,35,24,16,19,8,1985-03-31,1990-06-03,5.178349641226353,9.820290704647855e-6,4.134859244062254e-6,42,Jacaranda copaia,LD_DI
2,zantp1,132,123,73,59,50,1985-04-22,1990-06-13,5.145655519444362,2.870641416465038e-5,2.4327469631059643e-5,43,Zanthoxylum panamense,ST_DT
2,chr2ar,340,533,289,51,244,1985-04-29,1990-08-05,5.2707399165171225,2.064728377655448e-5,9.878308316626065e-5,44,Chrysophyllum argenteum,ST_DI
2,eugeoe,1760,1841,1380,380,461,1985-04-26,1990-08-07,5.286689618912783,1.5827937384522671e-4,1.9201787195434082e-4,45,Eugenia oerstediana,ST_DT
2,huracr,10,10,9,1,1,1985-07-01,1990-10-17,5.299726027397258,3.9368117517113225e-7,3.9368117517113225e-7,46,Hura crepitans,LD_DT
2,sapiau,15,16,4,11,12,1985-05-26,1990-08-20,5.238344748858448,6.690192494809731e-6,7.298391812519708e-6,47,Sapium glandulosum,LD_DI
2,apeime,34,30,20,14,10,1985-04-01,1990-07-02,5.255686274509803,6.530260686248793e-6,4.664471918749138e-6,48,Apeiba membranacea,LD_DI
2,ingago,317,325,245,72,80,1985-05-02,1990-08-06,5.266361576023908,3.0270375292179508e-5,3.3633750324643896e-5,50,Inga goldmanii,ST_DI
2,ceibpe,15,13,7,8,6,1985-04-10,1990-07-27,5.2991640323147156,4.018761361463565e-6,3.0140710210976742e-6,51,Ceiba pentandra,LD_DT
