cen,sp,M
1,solaar,0
1,solaas,NA
1,solaha,0.245770330676455
1,solast,0.090593448923893
1,soroaf,0.020066271426883
1,spacme,0
1,sponmo,0.221089616413494
1,sponra,0.107511711241627
1,stemgr,NA
1,sterap,0.066033018702788
1,stylst,0.023448195101212
1,swars1,0.00175736720022
1,swars2,0.00283693801813
1,sympgl,0.021003248752005
1,tab1gu,0.026942910927269
1,tab1ro,0.040843558726534
1,tab2ar,0.015473155948881
1,tachve,0.029763628309546
1,taline,0.006530203007664
1,talipr,0.008950609380209
1,termam,0.012436035802086
1,termob,0
1,ternte,NA
1,tet2pa,0.00981393394766
1,tet4jo,Inf
1,theoca,0
1,thevah,0.040616429626361
1,tocopi,0
1,tratas,0.142844711440935
1,tremin,NA
1,tremmi,0.399073235640007
1,tri1gi,0.093964566924224
1,tri2pa,0.03059555847555
1,tri2tu,0.025356174497897
1,tri4ga,NA
1,tripcu,0.022743061106323
1,tropra,0.009315409441172
1,turpoc,0.127540804423574
1,uniden,0
1,unonpi,0.026223116172827
1,urerba,0.19763622771235
1,verbgi,NA
1,virose,0.027079313487594
1,virosp,0.021917195051091
1,virosu,0.036461635718083
1,vismba,0.072934231462774
1,vismbi,0
1,vismma,NA
1,vochfe,0.102390197239966
1,xyl1ma,0.00640629197629
1,xyl2ch,0
1,xyl2ol,0.04315891250107
1,zantbe,0.174108613238323
1,zantp1,0.075378924956375
1,zantpr,0.02595194053395
1,zantse,NA
1,zuelgu,0.026295305473614
2,acacme,0
2,acaldi,0.078942703598044
2,acalma,0.153115158717157
2,ade1tr,0.072880471129305
2,aegipa,0.08354590868333
2,alchco,0.120907653981646
2,alchla,NA
2,alibed,0.009958363099639
2,allops,0.038289722607409
2,alsebl,0.012602073559234
2,amaico,0
2,anacex,Inf
2,anaxpa,0.011447431850661
2,andiin,0.005552252883174
2,annoac,0.017054593114068
2,annoha,NA
2,annosp,0.063995888041655
2,apeihy,NA
2,apeime,0.03038104108428
2,apeiti,0.133529539925907
2,aphesi,0.099175601488613
2,appuse,0
2,ardiba,0
2,ardife,0.009081712234777
2,ardigu,0.01253450041635
2,aspicr,0.007676696929433
2,ast2gr,0.013113432598756
2,banagu,NA
2,beilpe,0.014712131344078
2,bertgu,0.129632364413477
2,boropa,0
2,brosal,0.006523656432591
2,brosgu,0
2,calolo,0.021036597374389
2,cappfr,0.007986481881803
2,carica,NA
2,caseac,0.019929043089746
2,casear,0.11046749518373
2,caseco,0.027583778879652
2,casegu,0
2,casesy,0.031199112329657
2,cassel,0.008383198857483
2,cavapl,0
2,cecrin,0.212418761633801
2,cecrlo,NA
2,cecrob,0.193984324307761
2,cedrod,NA
2,ceibpe,0.077407553176096
2,celtsc,0.031905204023987
2,cespma,0
2,cestme,0.110778416902237
2,cha2sc,0.010771294055005
2,chimpa,0.131415524370371
2,chr1ec,0.015230233646304
2,chr2ar,0.006254678158789
2,chr2ca,0.011040483230473
2,clidde,0.501181744595841
2,clidoc,Inf
2,clidse,Inf
2,cnempe,Inf
2,coccco,0.011996314274683
2,coccma,0.008007013643716
2,colugl,NA
2,conobr,0.205567693870915
2,conoci,0.102424631727296
2,cordal,0.035906909060882
2,cordbi,0.060029192861746
2,cordla,0.020546364576304
2,cou2cu,0.006938369334664
2,couthe,0
2,crotbi,0.195358447979239
2,cupaci,0.078635113665402
2,cupala,0.012666774479659
2,cuparu,0.006065608857845
2,cupasy,0.003320939689137
2,cyphha,0.261879501111477
2,dendar,0.077621229289899
2,des2pa,0.023817553063725
2,dio2ar,0
2,diptpa,0.023856378591864
2,drypst,0.010091245562937
2,entesc,0
2,ery1co,0.057075896565235
2,ery2ma,0.03336238862393
2,ery2pa,0.013994081273545
2,eugeco,0.024924372917288
2,eugega,0.009017968619319
2,eugene,0.003835129097186
2,eugeoe,0.019033540173544
2,faraoc,0.007760232409812
2,gar2in,0.007453882837436
2,gar2ma,0.063246478183288
2,geniam,0.012253777995884
2,guapst,0.029288196413497
2,guargr,0.010919466846554
2,guargu,0.014317778859668
2,guarsp,0.029580804867876
2,guatdu,0.019328788237848
2,guazul,0.105082084738829
2,guetfo,0.017902581300132
2,gustsu,0.028586286233865
2,hameax,0.094264322876484
2,hamepa,0
2,hampap,0.265136282444844
2,hassfl,0.049559201621691
2,heisac,0.002774512794943
2,heisco,0.011870332850637
2,herrpu,0.011733925976173
2,hirtam,0.018016677771223
2,hirttr,0.009310049275099
2,huracr,0
2,hybapr,0.023514920212344
2,hyeral,0.07101318336794
2,ingaco,0.017694692632937
2,ingafa,0.014466465866003
2,ingago,0.015597896459058
2,ingam1,NA
2,ingama,0.07175670688622
2,ingami,0.029416685374559
2,ingape,0.023560578590528
2,ingapu,0.047555454430486
2,ingaqu,0.014746550438482
2,ingaru,0.036867377145796
2,ingas1,0.012835263892354
2,ingasa,0.022063804073355
2,ingasp,0.034750190616973
2,ingath,0
2,ingaum,0.011222194699606
2,jac1co,0.056687489380511
2,koanwe,0.066312756569898
2,laciag,0.025036380937792
2,lacmpa,0.006520215759856
2,laetpr,0.100462556041637
2,laetth,0.024364365411682
2,lafopu,0.077361725963699
2,leandi,NA
2,licahy,0.008829951622683
2,licapl,0.01898920064837
2,lindla,0.130730149591821
2,loncla,0.018315995345152
2,lopida,Inf
2,lozapi,0.117574116852594
2,luehse,0.0949094465337
2,lycima,Inf
2,maclti,Inf
2,macrgl,0.008366325376769
2,malmsp,0.000780836189054
2,malpro,0.027192014119356
2,maquco,0.00859875211857
2,mar1la,0.014186018627936
2,margno,0
2,maytsc,0.004158215019486
2,micoaf,0.036507281334865
2,micoar,0.117436016470353
2,micodo,NA
2,micoel,0.049685495894216
2,micoho,0.034777412456607
2,micoim,0
2,micone,0.167205450356103
2,micopr,NA
2,mourmy,0.028652017761871
2,myrcga,0.008892865127493
2,myrofr,0
2,nectci,0.01688140883561
2,nectgl,0.034524789601772
2,nectpu,0.015607722602871
2,nects1,0.054365995065587
2,nects3,Inf
2,neeaam,0.031980935057714
2,ochrpy,Inf
2,ocotce,0.016012850632261
2,ocotob,0.081017598438063
2,ocotpu,0.031755574538433
2,ocotwh,0.066894559544198
2,olmeas,0.072318118880175
2,oreoca,NA
2,ormoam,0
2,ormocr,0
2,ormoma,0
2,ouralu,0.008569194087399
2,paligu,0.12745474537869
2,pentma,0.021883877620967
2,perexa,0.022046944340749
2,phoeci,0.038287950397155
