"","day","pft","date","dbh","N_co","SMP","NPP","FSDS","water_def","H20_mort_rate","e_frac","c_repro","light"
"461",115,"earlydi",2003-04-26 11:30:00,500,800,-4973.7053527832,1.69759979216906,13800420.4386055,819596.782161458,0.00032328539740813,0.0601259160195923,255.174356347085,0.414012613158166
"462",115,"earlydt",2003-04-26 11:30:00,500,800,-4973.7053527832,1.69759979216906,13800420.4386055,914050.714322916,0.000367796596953745,0.072322415421456,306.93629347157,0.414012613158166
"463",115,"latedi",2003-04-26 11:30:00,500,800,-4973.7053527832,1.69759979216906,13800420.4386055,1013644.51302083,0.000399826446802662,0.0941061453349794,399.38643190623,0.414012613158166
"464",115,"latedt",2003-04-26 11:30:00,500,800,-4973.7053527832,1.69759979216906,13800420.4386055,1117689.99791667,0.000449737165828373,0.0939424887937405,398.691873630245,0.414012613158166
"465",116,"earlydi",2003-04-27 11:30:00,500,800,-5263.50710042318,1.75202574537252,16917480.0358772,1222906.52447917,0.000482368684655671,0.0601259160195923,263.35538207608,0.507524401076317
"466",116,"earlydt",2003-04-27 11:30:00,500,800,-5263.50710042318,1.75202574537252,16917480.0358772,1320967.01263021,0.000531531964605964,0.072322415421456,316.776834464794,0.507524401076317
"467",116,"latedi",2003-04-27 11:30:00,500,800,-5263.50710042318,1.75202574537252,16917480.0358772,1404580.71692708,0.000554029060565682,0.0941061453349794,412.19097356163,0.507524401076317
"468",116,"latedt",2003-04-27 11:30:00,500,800,-5263.50710042318,1.75202574537252,16917480.0358772,1488014.625,0.000598748741964285,0.0939424887937405,411.474147377507,0.507524401076317
"469",117,"earlydi",2003-04-28 11:30:00,500,800,-7516.1845703125,1.49470455289702,13612499.7394234,1574630.12877604,0.000621104106350549,0.0601259160195923,224.676201053971,0.408374992182702
"470",117,"earlydt",2003-04-28 11:30:00,500,800,-7516.1845703125,1.49470455289702,13612499.7394234,1574630.12877604,0.000633601170864645,0.072322415421456,270.2516090174,0.408374992182702
"471",117,"latedi",2003-04-28 11:30:00,500,800,-7516.1845703125,1.49470455289702,13612499.7394234,1574630.12877604,0.000621104106350549,0.0941061453349794,351.652209719456,0.408374992182702
"472",117,"latedt",2003-04-28 11:30:00,500,800,-7516.1845703125,1.49470455289702,13612499.7394234,1574630.12877604,0.000633601170864645,0.0939424887937405,351.040664276203,0.408374992182702
"473",118,"earlydi",2003-04-29 11:30:00,500,800,-10122.3705240885,1.40440198708802,18568979.7019958,1574630.12877604,0.000621104106350549,0.0601259160195923,211.102389833507,0.557069391059876
"474",118,"earlydt",2003-04-29 11:30:00,500,800,-10122.3705240885,1.40440198708802,18568979.7019958,1574630.12877604,0.000633601170864645,0.072322415421456,253.924359822246,0.557069391059876
"475",118,"latedi",2003-04-29 11:30:00,500,800,-10122.3705240885,1.40440198708802,18568979.7019958,1574630.12877604,0.000621104106350549,0.0941061453349794,330.407143764098,0.557069391059876
"476",118,"latedt",2003-04-29 11:30:00,500,800,-10122.3705240885,1.40440198708802,18568979.7019958,1574630.12877604,0.000633601170864645,0.0939424887937405,329.832544834809,0.557069391059876
"477",119,"earlydi",2003-04-30 11:30:00,500,800,-15441.782796224,1.27146280356101,20656260.3412628,1574630.12877604,0.000621104106350549,0.0601259160195923,191.119664372361,0.619687810237885
"478",119,"earlydt",2003-04-30 11:30:00,500,800,-15441.782796224,1.27146280356101,20656260.3412628,1574630.12877604,0.000633601170864645,0.072322415421456,229.888152680171,0.619687810237885
