yr,month,rain,run
2109,05,228.55829999316484,analy_dry75
2109,06,296.98309355881065,analy_dry75
2109,07,336.47702978923917,analy_dry75
2109,08,169.34357767459005,analy_dry75
2109,09,212.51172828488052,analy_dry75
2109,10,284.94292739778757,analy_dry75
2109,11,643.8181308098137,analy_dry75
2109,12,489.67920751310885,analy_dry75
2110,01,2.287683237955207,analy_dry75
2110,02,0.48994991580002534,analy_dry75
2110,03,4.630369012375013,analy_dry75
2110,04,43.232962576439604,analy_dry75
2110,05,252.93026911094785,analy_dry75
2110,06,275.4362889099866,analy_dry75
2110,07,336.346850451082,analy_dry75
2110,08,141.15125422831625,analy_dry75
2110,09,168.17810232751071,analy_dry75
2110,10,294.32363491505384,analy_dry75
2110,11,854.0151223540306,analy_dry75
2110,12,468.17779024131596,analy_dry75
2111,01,3.167753053276101,analy_dry75
2111,02,16.43961757508805,analy_dry75
2111,03,12.36598843097454,analy_dry75
2111,04,15.940440469421446,analy_dry75
2111,05,202.8562020510435,analy_dry75
2111,06,186.79010344203562,analy_dry75
2111,07,398.16184658557177,analy_dry75
2111,08,293.0534704355523,analy_dry75
2111,09,227.50657566357404,analy_dry75
2111,10,244.31952950544655,analy_dry75
2111,11,176.62112885154784,analy_dry75
2111,12,146.76166215213016,analy_dry75
2112,01,5.197914934979053,analy_dry75
2112,02,3.052140634463285,analy_dry75
2112,03,6.603027204255341,analy_dry75
2112,04,11.734437159611844,analy_dry75
2112,05,270.99169737193733,analy_dry75
2112,06,283.6519887903705,analy_dry75
2112,07,159.9427878507413,analy_dry75
2112,08,307.50462419819087,analy_dry75
2112,09,173.16958350129426,analy_dry75
2112,10,216.47740406915545,analy_dry75
2112,11,369.49787638150156,analy_dry75
2112,12,318.41562101617455,analy_dry75
2113,01,8.875708394043613,analy_dry75
2113,02,9.336729360802565,analy_dry75
2113,03,8.178149694140302,analy_dry75
2113,04,22.03759342082776,analy_dry75
2113,05,128.9803046034649,analy_dry75
2113,06,304.35140000190586,analy_dry75
2113,07,241.70933633577079,analy_dry75
2113,08,484.5287438482046,analy_dry75
2113,09,95.98369124578312,analy_dry75
2113,10,383.0603807698935,analy_dry75
2113,11,406.2462563160807,analy_dry75
2113,12,83.27663855161518,analy_dry75
2114,01,11.233395303133875,analy_dry75
2114,02,13.62172088411171,analy_dry75
2114,03,1.7701415035844548,analy_dry75
2114,04,7.342419170890935,analy_dry75
2114,05,136.53092058375478,analy_dry75
2114,06,185.7151689939201,analy_dry75
2114,07,267.2814108431339,analy_dry75
2114,08,183.56463750824332,analy_dry75
2114,09,116.39366779709235,analy_dry75
2114,10,114.71922631608322,analy_dry75
2114,11,503.02574671804905,analy_dry75
2114,12,58.32471366156824,analy_dry75
2115,01,4.250338947895216,analy_dry75
2115,02,14.615464983216953,analy_dry75
2115,03,16.301309336267877,analy_dry75
2115,04,32.26842024887446,analy_dry75
2115,05,173.93395837862045,analy_dry75
2115,06,320.34860879648477,analy_dry75
2115,07,368.209490692243,analy_dry75
2115,08,365.94924218952656,analy_dry75
2115,09,247.73053997196257,analy_dry75
2115,10,332.3666366748512,analy_dry75
2115,11,543.3909296058118,analy_dry75
2115,12,924.9038522131741,analy_dry75
2116,01,22.714316484052688,analy_dry75
2116,02,7.592932791158091,analy_dry75
2116,03,10.078303366026375,analy_dry75
2116,04,13.511919825396035,analy_dry75
2116,05,228.55829999316484,analy_dry75
2116,06,296.98309355881065,analy_dry75
2116,07,336.47702978923917,analy_dry75
2116,08,169.34357767459005,analy_dry75
2116,09,212.51172828488052,analy_dry75
2116,10,284.94292739778757,analy_dry75
2116,11,643.8181308098137,analy_dry75
2116,12,489.67920751310885,analy_dry75
2117,01,2.287683237955207,analy_dry75
