yr,month,day,pft,date,dbh,N_co,SMP,NPP,c_repro,FSDS,nppseed_pft_day,water_def,H20_mort_rate,e_frac,ED2_R,light
2002,01,369,ST_DT,2002-01-16T00:00:00Z,173.19152690765617,11784.229324153144,-17286.043167114258,0.825399605968713,161.68613413091833,18294728.02734375,0.1743600159440092,0,0,0.01457337585233062,0.5449778458776608,0.365894560546875
2002,01,370,ST_DT,2002-01-17T00:00:00Z,173.19152690765617,11784.229324153144,-17286.043167114258,0.825399605968713,161.68613413091833,18294728.02734375,0.1743600159440092,0,0,0.01457337585233062,0.5449778458776608,0.365894560546875
2002,01,371,ST_DT,2002-01-18T00:00:00Z,173.19152690765617,11784.229324153144,-17286.043167114258,0.825399605968713,161.68613413091833,18294728.02734375,0.1743600159440092,0,0,0.01457337585233062,0.5449778458776608,0.365894560546875
2002,01,372,ST_DT,2002-01-19T00:00:00Z,173.19152690765617,11784.229324153144,-17286.043167114258,0.825399605968713,161.68613413091833,18294728.02734375,0.1743600159440092,0,0,0.01457337585233062,0.5449778458776608,0.365894560546875
2002,01,373,ST_DT,2002-01-20T00:00:00Z,173.19152690765617,11784.229324153144,-17286.043167114258,0.825399605968713,161.68613413091833,18294728.02734375,0.1743600159440092,0,0,0.01457337585233062,0.5449778458776608,0.365894560546875
2002,01,374,ST_DT,2002-01-21T00:00:00Z,173.19152690765617,11784.229324153144,-17286.043167114258,0.825399605968713,161.68613413091833,18294728.02734375,0.1743600159440092,0,0,0.01457337585233062,0.5449778458776608,0.365894560546875
2002,01,375,ST_DT,2002-01-22T00:00:00Z,173.19152690765617,11784.229324153144,-17286.043167114258,0.825399605968713,161.68613413091833,18294728.02734375,0.1743600159440092,0,0,0.01457337585233062,0.5449778458776608,0.365894560546875
2002,01,376,ST_DT,2002-01-23T00:00:00Z,173.19152690765617,11784.229324153144,-17286.043167114258,0.825399605968713,161.68613413091833,18294728.02734375,0.1743600159440092,0,0,0.01457337585233062,0.5449778458776608,0.365894560546875
2002,01,377,ST_DT,2002-01-24T00:00:00Z,173.19152690765617,11784.229324153144,-17286.043167114258,0.825399605968713,161.68613413091833,18294728.02734375,0.1743600159440092,0,0,0.01457337585233062,0.5449778458776608,0.365894560546875
2002,01,378,ST_DT,2002-01-25T00:00:00Z,173.19152690765617,11784.229324153144,-17286.043167114258,0.825399605968713,161.68613413091833,18294728.02734375,0.1743600159440092,0,0,0.01457337585233062,0.5449778458776608,0.365894560546875
2002,01,379,ST_DT,2002-01-26T00:00:00Z,173.19152690765617,11784.229324153144,-17286.043167114258,0.825399605968713,161.68613413091833,18294728.02734375,0.1743600159440092,0,0,0.01457337585233062,0.5449778458776608,0.365894560546875
2002,01,380,ST_DT,2002-01-27T00:00:00Z,173.19152690765617,11784.229324153144,-17286.043167114258,0.825399605968713,161.68613413091833,18294728.02734375,0.1743600159440092,0,0,0.01457337585233062,0.5449778458776608,0.365894560546875
2002,01,381,ST_DT,2002-01-28T00:00:00Z,173.19152690765617,11784.229324153144,-17286.043167114258,0.825399605968713,161.68613413091833,18294728.02734375,0.1743600159440092,0,0,0.01457337585233062,0.5449778458776608,0.365894560546875
2002,01,382,ST_DT,2002-01-29T00:00:00Z,173.19152690765617,11784.229324153144,-17286.043167114258,0.825399605968713,161.68613413091833,18294728.02734375,0.1743600159440092,0,0,0.01457337585233062,0.5449778458776608,0.365894560546875
2002,01,383,ST_DT,2002-01-30T00:00:00Z,173.19152690765617,11784.229324153144,-17286.043167114258,0.825399605968713,161.68613413091833,18294728.02734375,0.1743600159440092,0,0,0.01457337585233062,0.5449778458776608,0.365894560546875
2002,02,384,ST_DT,2002-02-01T00:00:00Z,171.88410030702317,11989.612383712909,-36446.57897949219,0.9033076000161397,183.1923626419526,18533307.568359375,0.19543730779500956,0,0,0.014493800094923319,0.610844382912037,0.3706661513671875
2002,02,385,ST_DT,2002-02-02T00:00:00Z,171.88410030702317,11989.612383712909,-36446.57897949219,0.9033076000161397,183.1923626419526,18533307.568359375,0.19543730779500956,0,0,0.014493800094923319,0.610844382912037,0.3706661513671875
2002,02,386,ST_DT,2002-02-03T00:00:00Z,171.88410030702317,11989.612383712909,-36446.57897949219,0.9033076000161397,183.1923626419526,18533307.568359375,0.19543730779500956,0,0,0.014493800094923319,0.610844382912037,0.3706661513671875
2002,02,387,ST_DT,2002-02-04T00:00:00Z,171.88410030702317,11989.612383712909,-36446.57897949219,0.9033076000161397,183.1923626419526,18533307.568359375,0.19543730779500956,0,0,0.014493800094923319,0.610844382912037,0.3706661513671875
2002,02,388,ST_DT,2002-02-05T00:00:00Z,171.88410030702317,11989.612383712909,-36446.57897949219,0.9033076000161397,183.1923626419526,18533307.568359375,0.19543730779500956,0,0,0.014493800094923319,0.610844382912037,0.3706661513671875
2002,02,389,ST_DT,2002-02-06T00:00:00Z,171.88410030702317,11989.612383712909,-36446.57897949219,0.9033076000161397,183.1923626419526,18533307.568359375,0.19543730779500956,0,0,0.014493800094923319,0.610844382912037,0.3706661513671875
2002,02,390,ST_DT,2002-02-07T00:00:00Z,171.88410030702317,11989.612383712909,-36446.57897949219,0.9033076000161397,183.1923626419526,18533307.568359375,0.19543730779500956,0,0,0.014493800094923319,0.610844382912037,0.3706661513671875
2002,02,391,ST_DT,2002-02-08T00:00:00Z,171.88410030702317,11989.612383712909,-36446.57897949219,0.9033076000161397,183.1923626419526,18533307.568359375,0.19543730779500956,0,0,0.014493800094923319,0.610844382912037,0.3706661513671875
2002,02,392,ST_DT,2002-02-09T00:00:00Z,171.88410030702317,11989.612383712909,-36446.57897949219,0.9033076000161397,183.1923626419526,18533307.568359375,0.19543730779500956,0,0,0.014493800094923319,0.610844382912037,0.3706661513671875
