"","year","pft","submodel","ED2"
"87",2022-01-01,"ST_DI",46.7427778864426,29.1281673566634
"88",2022-01-01,"ST_DT",102.960260971928,40.341522168979
"89",2023-01-01,"LD_DI",86.54116888559,30.7980057801521
"90",2023-01-01,"LD_DT",276.338448958107,65.214058545491
"91",2023-01-01,"ST_DI",47.1862752274637,29.6988778769582
"92",2023-01-01,"ST_DT",98.6979348217091,42.0707351744969
"93",2024-01-01,"LD_DI",86.0678518074384,31.1498231429909
"94",2024-01-01,"LD_DT",274.414332252329,64.8950283365946
"95",2024-01-01,"ST_DI",55.9701757517871,32.1762264110626
"96",2024-01-01,"ST_DT",108.384353829382,43.0634325536666
"97",2025-01-01,"LD_DI",88.446992113365,31.5924357603673
"98",2025-01-01,"LD_DT",285.710462734767,66.0310280221463
"99",2025-01-01,"ST_DI",55.9354403662549,30.3991254333587
