year,pft,model,R,facet_var
2034-01-01,LD_DT,ED2,46.89760306292935,ED2 2% TOC
2034-01-01,ST_DI,ED2,53.95044111554145,ED2 2% TOC
2034-01-01,ST_DT,ED2,42.35017969140524,ED2 2% TOC
2036-01-01,LD_DI,ED2,86.28798901314067,ED2 2% TOC
2036-01-01,LD_DT,ED2,44.98730087011364,ED2 2% TOC
2036-01-01,ST_DI,ED2,54.558700632388934,ED2 2% TOC
2036-01-01,ST_DT,ED2,41.828148461430715,ED2 2% TOC
2038-01-01,LD_DI,ED2,87.12304345222238,ED2 2% TOC
2038-01-01,LD_DT,ED2,43.41151188504258,ED2 2% TOC
2038-01-01,ST_DI,ED2,54.94512246887484,ED2 2% TOC
2038-01-01,ST_DT,ED2,40.67009394652704,ED2 2% TOC
2040-01-01,LD_DI,ED2,87.56695367669931,ED2 2% TOC
2040-01-01,LD_DT,ED2,43.9661055361728,ED2 2% TOC
2040-01-01,ST_DI,ED2,56.22907103600554,ED2 2% TOC
2040-01-01,ST_DT,ED2,39.590167513976915,ED2 2% TOC
2042-01-01,LD_DI,ED2,87.05021253256606,ED2 2% TOC
2042-01-01,LD_DT,ED2,42.503795378167496,ED2 2% TOC
2042-01-01,ST_DI,ED2,56.8304544643318,ED2 2% TOC
2042-01-01,ST_DT,ED2,38.48932368940586,ED2 2% TOC
2044-01-01,LD_DI,ED2,86.93124484175878,ED2 2% TOC
2044-01-01,LD_DT,ED2,43.237130061034804,ED2 2% TOC
2044-01-01,ST_DI,ED2,58.25489480938556,ED2 2% TOC
2044-01-01,ST_DT,ED2,37.19375544883634,ED2 2% TOC
